OBJECTID	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	FROM_X	FROM_Y	NEAR_X	NEAR_Y
29	1	2	3349.037811	6	-3.6823158	40.4215533	-3.6773491	40.4514734
30	1	10	3395.606618	7	-3.6823158	40.4215533	-3.7071303	40.4455439
31	1	9	3485.111967	8	-3.6823158	40.4215533	-3.6453104	40.4079517
32	1	3	4192.337698	9	-3.6823158	40.4215533	-3.6392422	40.4400457
33	1	12	4537.615119	10	-3.6823158	40.4215533	-3.6515286	40.3881478
34	1	16	4919.649065	11	-3.6823158	40.4215533	-3.6887449	40.4655841
35	1	19	5101.001178	12	-3.6823158	40.4215533	-3.7187679	40.3850336
36	1	5	5148.3495	13	-3.6823158	40.4215533	-3.7318356	40.3947825
37	1	6	5524.22544	14	-3.6823158	40.4215533	-3.7473445	40.4193577
38	1	11	6764.358493	15	-3.6823158	40.4215533	-3.7115364	40.4782322
